"weight" "perf"
"1" 1 0.786877958950813
"2" 2 0.786805018315993
"3" 3 0.786719947992895
"4" 4 0.786462891841425
"5" 5 0.78631609204387
"6" 6 0.787053929541569
"7" 7 0.786501466906075
"8" 8 0.786604270472624
"9" 9 0.785686343369043
"10" 10 0.786250706509368
"11" 11 0.786534255805807
"12" 12 0.786266953358186
"13" 13 0.786054251461447
"14" 14 0.785947037516945
"15" 15 0.786564746765215
