"Feature" "Gain" "Cover" "Frequency"
"82" "Add_RATIO_CAR_EMPLOYED" 3497.60752403736 20576308 249
"83" "Add_DIFF_MEAN_DAYS_LAST_DUE_PREV" 3473.44432365894 10128070 322
"84" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MIN" 3467.49067807198 7857769 165
"85" "AMT_CREDIT_SUM_MAX" 3427.65025317669 26269067 344
"86" "AMT_CREDIT_SUM_DEBT_MAX" 3352.9353761673 14923241 333
"87" "AMT_ANNUITY_MAX" 3317.58955526352 33782438 392
"88" "EXT_SOURCE_3_GENDER_EDU_OCC" 3234.54778170586 12969132 345
"89" "DAYS_DECISION_MEAN" 3139.65858787298 16924713 334
"90" "AMT_CREDIT_SUM_SUM" 3117.96065759659 23255852 325
"91" "NAME_FAMILY_STATUS.Married" 3117.40226650238 21573200 182
"92" "DAYS_CREDIT_ENDDATE_MEAN" 3104.45818138123 13957223 342
"93" "AMT_CREDIT_SUM_MEAN" 3076.93257367611 19135310 337
"94" "DAYS_CREDIT_ENDDATE_POSITIVE_SUM" 3048.21937441826 24381946 192
"95" "NUM_INSTALMENT_NUMBER_MAX" 3038.32874846458 16436318 268
"96" "FLAG_DOCUMENT_3" 3012.63394200802 10320095 109
"97" "RATE_DOWN_PAYMENT_MEAN" 2932.52042531967 10925468 339
"98" "NUM_INSTALMENT_NUMBER_MEAN" 2906.31571447849 17510989 323
"99" "Add_INCOME_per_FAM" 2904.6882712841 16270874 339
"100" "AMT_DOWN_PAYMENT_MEAN" 2886.84749019146 19122679 322
"101" "OWN_CAR_AGE" 2886.60565257072 14212479 146
"102" "YEARS_BEGINEXPLUATATION_AVG" 2884.04333484173 26876668 274
"103" "Nr_INSTALLMENTS_MEAN" 2821.74838674068 25677923 346
"104" "DAYS_CREDIT_MIN" 2791.81835222244 15135131 307
"105" "AMT_CREDIT_SUM_DEBT_SUM" 2789.5531090498 17708212 260
"106" "Add_DIFF_DAYS_ENDDATE_MIN" 2777.20214319229 24131847 328
"107" "NAME_EDUCATION_TYPE.Secondary...secondary.special" 2759.20015859604 3874277 67
"108" "DAYS_FIRST_DUE_MIN" 2746.54719054699 14457588 225
"109" "AMT_INCOME_TOTAL" 2741.88473784924 20517461 328
"110" "DAYS_CREDIT_UPDATE_MEAN" 2702.76655995846 8406602 280
"111" "DAYS_DECISION_MIN" 2659.29083228111 10680421 187
"112" "Add_DIFF_DAYS_ENDDATE_MAX" 2640.90088438988 11099790 277
"113" "NUM_INSTALMENT_VERSION_5" 2628.65443754196 14552945 246
"114" "NAME_YIELD_GROUP_high" 2619.94009709358 8548360 150
"115" "Add_DIFF_DAYS_ENDDATE_MEAN" 2588.54262340069 20226378 272
"116" "MONTHS_BALANCE_MEAN_POS" 2583.60423254967 9080349 261
"117" "CREDIT_ACTIVE_Active" 2558.92776751518 4468596 143
"118" "DAYS_ENDDATE_FACT_MIN" 2514.25899457932 8758863 272
"119" "Add_INCOME_per_ADULT" 2490.30637514591 11008148 289
"120" "SK_DPD_DEF_TREND_MEAN_POS" 2483.82845556736 14162009 153
"121" "RATE_DOWN_PAYMENT_MAX" 2462.14854979515 5132139 249
"122" "Add_CREDIT_TERM_BUREAU_MAX" 2442.52914440632 17968805 279
"123" "Nr_POSCASH_MONTH_MEAN" 2442.35272026062 23723432 316
"124" "CNT_DRAWINGS_CURRENT_MEAN" 2432.9517365694 16902036 165
"125" "HOUR_APPR_PROCESS_START" 2413.56925392151 17731000 299
"126" "Nr_POS_CASH" 2409.97827672958 3449329 86
"127" "Add_CREDIT_TERM_BUREAU_MEAN" 2397.82119607925 10414548 279
"128" "Add_DIFF_DAYS_LAST_DUE_PREV_MAX" 2367.72114348412 18385656 260
"129" "Add_CREDIT_TERM_BUREAU_SUM" 2316.97658479214 10477147 267
"130" "AMT_APPLICATION_MAX" 2313.56431555748 12675466 240
"131" "AMT_CREDIT_MAX" 2290.14600467682 9114006 225
"132" "DAYS_ENDDATE_FACT_MEAN" 2284.72404837608 7486286 249
"133" "DAYS_CREDIT_ENDDATE_MIN" 2276.37738537788 12173921 264
"134" "Add_DIFF_MEAN_DEBT_LIMIT_BUREAU" 2266.15011882782 6534896 238
"135" "DAYS_LAST_DUE_1ST_VERSION_MIN" 2218.61611843109 7951761 192
"136" "NAME_INCOME_TYPE.Working" 2216.21191549301 3302552 92
"137" "CNT_INSTALMENT_MEAN" 2210.05078792572 10225336 248
"138" "DEF_30_CNT_SOCIAL_CIRCLE" 2204.56801140308 17971352 97
"139" "Add_DIFF_DAYS_ENDDATE_SUM" 2184.71506237984 15272256 269
"140" "AMT_CREDIT_SUM_DEBT_MEAN" 2183.31295967102 7518440 225
"141" "Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MEAN" 2152.2431845665 3842544 220
"142" "AMT_CREDIT_MEAN" 2124.51723957062 19610924 260
"143" "Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MAX" 2104.21052241325 8258611 230
"144" "FLAG_OWN_CAR" 2081.56406569481 9878323 115
"145" "Add_RATIO_PAYMENT_PREV_MIN" 2081.4250099659 15789152 254
"146" "NAME_PRODUCT_TYPE_walk.in" 2058.52774906158 2851457 88
"147" "FLAG_WORK_PHONE" 1860.70321547985 19435390 132
"148" "DAYS_ENTRY_PAYMENT_MEAN" 1774.62327861786 5082971 133
"149" "NFLAG_INSURED_ON_APPROVAL_0" 1739.21559488773 4513490 93
"150" "AMT_CREDIT_MIN" 1728.64293408394 6212663 200
"151" "TOTALAREA_MODE" 1716.02913808823 20729544 205
"152" "REGION_RATING_CLIENT_W_CITY.3" 1708.10644626617 18887744 99
"153" "DAYS_TERMINATION_MEAN" 1707.50755560398 13315618 217
"154" "DAYS_LAST_DUE_MEAN" 1689.61585175991 4211169 175
"155" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MEAN" 1662.15448021889 6232045 170
"156" "BUREAU_STATUS_0_MEAN" 1653.63340854645 27423390 215
"157" "AMT_APPLICATION_MEAN" 1623.47459673882 12831704 203
"158" "BUREAU_STATUS_ENTROPY_MEAN" 1621.21305835247 20046146 182
"159" "DAYS_INSTALMENT_MEAN" 1592.6347823143 13262591 176
"160" "BUREAU_STATUS_ENTROPY_MAX" 1562.91817080975 12873017 159
"161" "AMT_ANNUITY_MIN" 1536.57115936279 4481143 174
"162" "Mortgage_Nr" 1535.51362526417 19650669 86
"163" "DAYS_FIRST_DUE_MEAN" 1521.99755620956 8068787 171
"164" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MAX" 1397.97870540619 5207799 134
"165" "AMT_REQ_CREDIT_BUREAU_YEAR" 1370.61300754547 4245847 152
"166" "Add_RATIO_SUM_PAYMENT_BUREAU" 1365.45616769791 3783232 122
"167" "Add_DIFF_MEAN_PAYMENT_DRAWINGS_CARD" 1353.84243547916 5216934 43
"168" "REGION_RATING_CLIENT_W_CITY.1" 1350.38646245003 8063297 53
"169" "Consumer_credit_Nr" 1338.94845533371 9804708 143
"170" "Add_CARD_DRAWINGS_POS_per_CNT_MEAN" 1336.04596066475 17611477 126
"171" "DAYS_TERMINATION_MIN" 1323.77268099785 5898901 148
"172" "Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MEAN" 1299.05541825294 9646683 92
"173" "PRODUCT_COMBINATION_Cash_X.Sell._low" 1290.3328871727 13807832 81
"174" "Add_DIFF_MEAN_PAYMENT_INST_MIN_CARD" 1279.30788040161 11817944 95
"175" "NAME_YIELD_GROUP_low_action" 1269.8245639801 9304444 72
"176" "AMT_APPLICATION_MIN" 1268.3434690237 2323814 144
"177" "DAYS_LAST_DUE_MIN" 1258.83860468864 7791345 153
"178" "REG_CITY_NOT_LIVE_CITY" 1247.34298086166 8140151 76
"179" "SK_DPD_DEF_MAX_POS" 1245.37439489365 2904823 55
"180" "BUREAU_MONTH_BALANCE_Nr_MEAN" 1227.40202963352 15308639 155
"181" "DAYS_FIRST_DRAWING_MAX" 1222.60118341446 9014026 76
"182" "AMT_DOWN_PAYMENT_MIN" 1208.50319170952 17083540 168
"183" "DEF_60_CNT_SOCIAL_CIRCLE" 1202.00934243202 9006410 67
"184" "CODE_REJECT_REASON_HC" 1192.52721107006 8919340 95
"185" "Add_RATIO_LIMIT_CREDIT_BUREAU_MEAN" 1181.71432113647 4310073 132
"186" "Nr_INSTALLMENTS_PREV" 1172.80622005463 1270702 66
"187" "Add_DIFF_DRAWINGS_LIMIT_CARD_MAX" 1166.76307320595 28617673 173
"188" "AMT_CREDIT_SUM_OVERDUE_SUM" 1152.57570111752 24039400 88
"189" "BUREAU_STATUS_X_MEAN" 1147.07299995422 10777623 138
"190" "Add_DIFF_PAYMENT_INST_MIN_CARD_MEAN" 1144.29299092293 7822949 88
