Feature,Gain,Cover,Frequency,run
Add_CARD_DRAWINGS_ATM_per_CNT_MAX,236.325425863266,2145996,50,1
CNT_INSTALMENT_MATURE_CUM_MEAN,233.103100538254,3713171,53,1
MONTHS_BALANCE_MEAN_POS,229.362804412842,327047,39,1
DAYS_DECISION_MEAN,226.989422082901,277892,42,1
Add_INCOME_per_FAM,223.294683337212,76144,42,1
AMT_DOWN_PAYMENT_MAX,222.294165849686,182297,36,1
AMT_BALANCE_INTERCEPT,221.906743764877,1018019,42,1
CNT_INSTALMENT_MEAN,217.840129852295,256686,41,1
HOUR_APPR_PROCESS_START_7,216.583691358566,3719702,47,1
Nr_INSTALLMENTS_MEAN,215.290276646614,362786,35,1
WEEKDAY_APPR_PROCESS_START_MONDAY,214.033378124237,426463,35,1
AMT_CREDIT_SUM_MAX,212.990982532501,1185324,42,1
Nr_POSCASH_MONTH_MEAN,210.366894483566,543913,42,1
NAME_CONTRACT_STATUS_CC_Active_SUM,209.922818899155,1215535,49,1
Add_DIFF_MEAN_INSTALMENT_FUTURE,208.745815753937,305778,38,1
CNT_INSTALMENT_MATURE_CUM_MAX,207.451872825623,2334172,49,1
BASEMENTAREA_AVG,204.580757141113,128927,37,1
Add_DIFF_MEAN_DAYS_LAST_DUE_PREV,203.06088411808,189369,45,1
INSTALMENTS_LESS_INTERCEPT,202.84206700325,292632,40,1
LIVINGAPARTMENTS_MODE,198.427104949951,2815287,41,1
NAME_CONTRACT_STATUS_POSCASH_Active,196.215729475021,18638,32,1
Add_DIFF_DRAWINGS_LIMIT_CARD_MAX,191.863793849945,594555,39,1
NAME_CLIENT_TYPE_Refreshed,188.70631980896,1175196,42,1
YEARS_BEGINEXPLUATATION_AVG,187.739289194345,66759,35,1
AMT_CREDIT_LIMIT_ACTUAL_SUM,187.262469530106,3145676,38,1
Add_RATIO_CAR_BIRTH,186.825518131256,263399,38,1
SELLERPLACE_AREA_51,180.429173707962,2931711,41,1
TOTALAREA_MODE,180.01104593277,2885603,39,1
DAYS_LAST_DUE_MAX,179.828978896141,315916,33,1
DAYS_LAST_DUE_MEAN,178.793047428131,18389,32,1
SK_DPD_DEF_MEAN_POS,178.117146730423,1367312,42,1
NUM_INSTALMENT_VERSION_5,175.999208509922,150308,32,1
AMT_PAYMENT_MEAN,174.714509487152,207930,36,1
Add_RATIO_CAR_EMPLOYED,174.216641187668,659467,37,1
