Feature,Gain,Cover,Frequency
Add_DIFF_PAYMENT_RECEIVABLE_PRINCIPAL_CARD_MEAN,230.615297317505,78475,11
Add_DIFF_DAYS_LAST_DUE_PREV_MAX,225.401947021484,40349,12
REGION_RATING_CLIENT_W_CITY.1,213.699433326721,8760,12
FLAG_EMP_PHONE,210.10768699646,34420,5
DAYS_CREDIT_ENDDATE_MAX,207.784917831421,14080,12
NFLAG_INSURED_ON_APPROVAL_0,202.210403442383,57875,12
AMT_APPLICATION_MAX,201.05730342865,3663,11
NUM_INSTALMENT_NUMBER_MAX,195.842955589294,36232,11
NFLAG_INSURED_ON_APPROVAL_NA,191.192317008972,39815,9
SK_DPD_MAX_POS,188.352749824524,6384,8
REGION_POPULATION_RELATIVE,186.07338142395,9203,11
REG_CITY_NOT_LIVE_CITY,185.59069442749,15988,11
DAYS_ENTRY_PAYMENT_MAX,178.570797920227,19487,11
Add_DIFF_MEAN_BALANCE_LIMIT_CARD,175.992797851563,16853,9
DAYS_FIRST_DUE_MEAN,175.309589385986,9857,9
Add_DIFF_MEAN_PAYMENT_INST_MIN_CARD,174.09400177002,26214,10
AMT_ANNUITY_MIN,173.032262802124,4913,10
NUM_INSTALMENT_NUMBER_MEAN,147.095062255859,3885,8
Add_INCOME_per_FAM,143.231587409973,4215,8
NONLIVINGAREA_MODE,140.105335235596,13211,8
Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MEAN,138.167939186096,3918,8
AMT_CREDIT_MEAN,136.508849143982,6429,8
CREDIT_currency.1,134.20476436615,37772,8
DAYS_DECISION_MAX,134.148761749268,10387,7
Add_DIFF_PAYMENT_RECEIVABLE_PRINCIPAL_CARD_MAX,132.109589576721,15360,6
CODE_REJECT_REASON_LIMIT,128.272939682007,45514,6
NAME_CONTRACT_TYPE,125.181659698486,27167,6
INSTALMENTS_DPD_INTERCEPT,121.883961677551,7376,7
AMT_BALANCE_MEAN,121.287427902222,18038,7
DAYS_REGISTRATION,119.64181137085,10765,7
NAME_CASH_LOAN_PURPOSE_2,117.010105133057,10919,7
Add_DIFF_PAYMENT_RECEIVABLE_CARD_MAX,115.039915084839,8888,6
FLOORSMIN_MODE,113.397560119629,17963,6
BUREAU_STATUS_1_MEAN,112.788184165955,14987,6
CNT_DRAWINGS_CURRENT_MEAN,108.239211082459,10582,5
FLAG_WORK_PHONE,104.384426116943,10702,5
RATE_DOWN_PAYMENT_MEAN,103.905314445496,5603,6
Add_RATIO_PAYMENT_BUREAU_MEAN,103.760234832764,4673,6
DAYS_LAST_DUE_MIN,103.358441352844,1990,6
INSTALMENTS_LESS_TREND,101.023920059204,6370,6
AMT_CREDIT_SUM_LIMIT_SUM,100.620400428772,976,6
INSTALMENTS_LESS_INTERCEPT,99.7447023391724,9956,6
Add_CARD_DRAWINGS_POS_per_CNT_MEAN,99.4005784988403,12142,6
DAYS_FIRST_DUE_MAX,98.152626991272,3819,6
AMT_DOWN_PAYMENT_MEAN,97.4617080688477,7526,5
Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MAX,95.8947601318359,9067,6
AMT_DOWN_PAYMENT_MAX,93.7814083099365,11506,5
AMT_INST_MIN_REGULARITY_MEAN,92.066653251648,10350,5
AMT_INCOME_TOTAL,91.7375793457031,2592,5
AMT_RECEIVABLE_PRINCIPAL_MEAN,90.0938148498535,5634,5
AMT_CREDIT_SUM_SUM,88.7816905975342,9815,5
AMT_DRAWINGS_ATM_CURRENT_MEAN,88.7199668884277,80881,4
INSTALMENTS_DPD_TREND,88.2987442016602,4210,5
Add_RATIO_PAYMENT_PREV_MIN,87.5473117828369,6958,5
AMT_CREDIT_MAX_OVERDUE_MAX,87.3930625915527,11443,5
AMT_CREDIT_SUM_MEAN,86.6705780029297,3700,5
ORGANIZATION_TYPE.Self.employed,86.5890579223633,7248,5
Add_DIFF_MEAN_DAYS_LAST_DUE_PREV,86.0934867858887,9632,5
CREDIT_ACTIVE_Bad.debt,85.9333047866821,1307,5
AMT_RECIVABLE_MEAN,84.4392890930176,27923,3
AMT_GOODS_PRICE_MEAN,84.1807518005371,3565,5
AMT_ANNUITY_MAX,79.796106338501,12891,4
Add_CARD_DRAWINGS_ATM_per_CNT_MAX,76.8609199523926,542,4
