"learning_rate" "num_leaves" "max_bin" "feature_fraction" "perf"
"1" 0.125 50 128 0.5 0.783483996954554
"2" 0.125 50 128 0.55 0.783257055257315
"3" 0.125 50 128 0.6 0.783440409608285
"4" 0.125 50 128 0.65 0.78369936151088
"5" 0.125 50 128 0.7 0.783584565278998
"6" 0.125 50 128 0.75 0.783668474799018
"7" 0.125 50 128 0.8 0.783729321969392
"8" 0.125 50 128 0.85 0.782989880820681
"9" 0.125 50 128 0.9 0.783616919770349
"10" 0.125 50 128 0.95 0.783762426735813
"11" 0.125 50 128 1 0.782966520633183
